Quarter,Community Drinking Water Systems,HAA-SystemsCount (mcg/L),Population Served
2001 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2001 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2001 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2001 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,5.58,"37,290"
2008 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2008 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2008 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2008 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2009 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2009 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2009 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2009 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2010 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2010 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,2.88,"37,290"
2010 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2010 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,2.85,"37,290"
2011 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,6.3,"37,290"
2011 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,10.7,"37,290"
2011 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,18.11,"37,290"
2011 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,11.25,"37,290"
2012 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,8.93,"38,500"
2012 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,14,"38,500"
2012 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,11.03,"38,500"
2012 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,12.18,"38,500"
2013 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,7.83,"38,500"
2013 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,9.56,"38,500"
2013 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,12.35,"38,500"
2013 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,12.58,"38,500"
2014 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,10.93,"38,500"
2014 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,7.85,"38,500"
2014 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,7.1,"38,500"
2014 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,14.5,"38,500"
2015 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,8.93,"38,500"
2015 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,11.95,"38,500"
2015 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,7.7,"38,500"
2015 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,8.53,"38,500"
2016 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,13,"38,500"
2016 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,11.38,"38,500"
2016 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,8.53,"38,500"
2016 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,10.68,"38,500"
2017 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,4.8,"38,500"
2017 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,8.75,"38,500"
2017 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,15.55,"38,500"
2017 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,9.03,"38,500"
2018 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,7.08,"35,629"
2018 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,7.47,"35,629"
2018 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,7.39,"35,629"
2018 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,10.75,"35,629"
2019 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,18,"35,629"
2019 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,10.08,"35,629"
2019 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,6.85,"35,629"
2019 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,12.13,"35,629"
2020 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,15,"35,629"
2020 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,10.83,"35,629"
2020 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,4.75,"35,629"
2020 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,10.58,"35,629"
2021 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,15.25,"36,828"
2021 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,15.75,"36,828"
2021 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,7.3,"36,828"
2021 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,20.13,"36,828"
2022 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,10.73,"36,828"
2022 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,11.05,"36,828"
2022 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,9.1,"36,828"
2022 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,6.2,"36,828"
