agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,year_month
USGS,8481500,60,100069,1948,1,14.2,1948-01-15
USGS,8481500,60,100069,1948,2,14.2,1948-02-15
USGS,8481500,60,100069,1948,3,14,1948-03-15
USGS,8481500,60,100069,1948,4,11.9,1948-04-15
USGS,8481500,60,100069,1948,5,11.1,1948-05-15
USGS,8481500,60,100069,1948,6,12.2,1948-06-15
USGS,8481500,60,100069,1948,7,11.2,1948-07-15
USGS,8481500,60,100069,1948,8,12,1948-08-15
USGS,8481500,60,100069,1948,9,9.56,1948-09-15
USGS,8481500,60,100069,1948,10,12,1948-10-15
USGS,8481500,60,100069,1948,11,12.2,1948-11-15
USGS,8481500,60,100069,1948,12,13,1948-12-15
USGS,8481500,60,100069,1949,1,14.2,1949-01-15
USGS,8481500,60,100069,1949,2,16.4,1949-02-15
USGS,8481500,60,100069,1949,3,15.5,1949-03-15
USGS,8481500,60,100069,1949,4,14.5,1949-04-15
USGS,8481500,60,100069,1949,5,10.3,1949-05-15
USGS,8481500,60,100069,1949,6,10.4,1949-06-15
USGS,8481500,60,100069,1949,7,9.93,1949-07-15
USGS,8481500,60,100069,1949,8,10,1949-08-15
USGS,8481500,60,100069,1949,9,8.47,1949-09-15
USGS,8481500,60,100069,1949,10,11.3,1949-10-15
USGS,8481500,60,100069,1949,11,13.9,1949-11-15
USGS,8481500,60,100069,1949,12,15.1,1949-12-15
USGS,8481500,60,100069,1950,1,9.6,1950-01-15
USGS,8481500,60,100069,1950,2,11.6,1950-02-15
USGS,8481500,60,100069,1950,3,13.5,1950-03-15
USGS,8481500,60,100069,1950,4,13.4,1950-04-15
USGS,8481500,60,100069,1950,5,10.1,1950-05-15
USGS,8481500,60,100069,1950,6,6.22,1950-06-15
USGS,8481500,60,100069,1950,7,17.3,1950-07-15
USGS,8481500,60,100069,1950,8,12.5,1950-08-15
USGS,8481500,60,100069,1950,9,11.3,1950-09-15
USGS,8481500,60,100069,1950,10,12.4,1950-10-15
USGS,8481500,60,100069,1950,11,11,1950-11-15
USGS,8481500,60,100069,1950,12,11.8,1950-12-15
USGS,8481500,60,100069,1951,1,12.4,1951-01-15
USGS,8481500,60,100069,1951,2,13.1,1951-02-15
USGS,8481500,60,100069,1951,3,12.4,1951-03-15
USGS,8481500,60,100069,1951,4,13.1,1951-04-15
USGS,8481500,60,100069,1951,5,11.4,1951-05-15
USGS,8481500,60,100069,1951,6,7.71,1951-06-15
USGS,8481500,60,100069,1951,7,12.5,1951-07-15
USGS,8481500,60,100069,1951,8,8.74,1951-08-15
USGS,8481500,60,100069,1951,9,9.52,1951-09-15
USGS,8481500,60,100069,1951,10,9.47,1951-10-15
USGS,8481500,60,100069,1951,11,8.94,1951-11-15
USGS,8481500,60,100069,1951,12,10.7,1951-12-15
USGS,8481500,60,100069,1952,1,11.5,1952-01-15
USGS,8481500,60,100069,1952,2,10.8,1952-02-15
USGS,8481500,60,100069,1952,3,13.3,1952-03-15
USGS,8481500,60,100069,1952,4,12.2,1952-04-15
USGS,8481500,60,100069,1952,5,9.25,1952-05-15
USGS,8481500,60,100069,1952,6,8.47,1952-06-15
USGS,8481500,60,100069,1952,7,10.3,1952-07-15
USGS,8481500,60,100069,1952,8,8.48,1952-08-15
USGS,8481500,60,100069,1952,9,9.04,1952-09-15
USGS,8481500,60,100069,1952,10,9.44,1952-10-15
USGS,8481500,60,100069,1952,11,12.4,1952-11-15
USGS,8481500,60,100069,1952,12,12.1,1952-12-15
USGS,8481500,60,100069,1953,1,13.7,1953-01-15
USGS,8481500,60,100069,1953,2,11.5,1953-02-15
USGS,8481500,60,100069,1953,3,13.8,1953-03-15
USGS,8481500,60,100069,1953,4,11.6,1953-04-15
USGS,8481500,60,100069,1953,5,10.7,1953-05-15
USGS,8481500,60,100069,1953,6,8.02,1953-06-15
USGS,8481500,60,100069,1953,7,10.7,1953-07-15
USGS,8481500,60,100069,1953,8,8.08,1953-08-15
USGS,8481500,60,100069,1953,9,8.32,1953-09-15
USGS,8481500,60,100069,1953,10,8.4,1953-10-15
USGS,8481500,60,100069,1953,11,9.53,1953-11-15
USGS,8481500,60,100069,1953,12,10.1,1953-12-15
USGS,8481500,60,100069,1954,1,9.73,1954-01-15
USGS,8481500,60,100069,1954,2,10.5,1954-02-15
USGS,8481500,60,100069,1954,3,9.44,1954-03-15
USGS,8481500,60,100069,1954,4,10.9,1954-04-15
USGS,8481500,60,100069,1954,5,8.23,1954-05-15
USGS,8481500,60,100069,1954,6,6.97,1954-06-15
USGS,8481500,60,100069,1954,7,7.67,1954-07-15
USGS,8481500,60,100069,1954,8,6.66,1954-08-15
USGS,8481500,60,100069,1954,9,5.68,1954-09-15
USGS,8481500,60,100069,1954,10,9.07,1954-10-15
USGS,8481500,60,100069,1954,11,10.1,1954-11-15
USGS,8481500,60,100069,1954,12,11.1,1954-12-15
USGS,8481500,60,100069,1955,1,12,1955-01-15
USGS,8481500,60,100069,1955,2,11.1,1955-02-15
USGS,8481500,60,100069,1955,3,11.4,1955-03-15
USGS,8481500,60,100069,1955,4,11.3,1955-04-15
USGS,8481500,60,100069,1955,5,7.48,1955-05-15
USGS,8481500,60,100069,1955,6,8.31,1955-06-15
USGS,8481500,60,100069,1955,7,9.94,1955-07-15
USGS,8481500,60,100069,1955,8,11.4,1955-08-15
USGS,8481500,60,100069,1955,9,8.46,1955-09-15
USGS,8481500,60,100069,1955,10,10.1,1955-10-15
USGS,8481500,60,100069,1955,11,10.1,1955-11-15
USGS,8481500,60,100069,1955,12,9.55,1955-12-15
USGS,8481500,60,100069,1956,1,9.21,1956-01-15
USGS,8481500,60,100069,1956,2,11.1,1956-02-15
USGS,8481500,60,100069,1956,3,8.45,1956-03-15
USGS,8481500,60,100069,1956,4,9.66,1956-04-15
USGS,8481500,60,100069,1956,5,7.36,1956-05-15
USGS,8481500,60,100069,1956,6,7.28,1956-06-15
USGS,8481500,60,100069,1956,7,6.51,1956-07-15
USGS,8481500,60,100069,1956,8,7.61,1956-08-15
USGS,8481500,60,100069,1956,9,7.09,1956-09-15
USGS,8481500,60,100069,1956,10,7.64,1956-10-15
USGS,8481500,60,100069,1956,11,9.3,1956-11-15
USGS,8481500,60,100069,1956,12,9.84,1956-12-15
USGS,8481500,60,100069,1957,1,9.17,1957-01-15
USGS,8481500,60,100069,1957,2,8.42,1957-02-15
USGS,8481500,60,100069,1957,3,11.3,1957-03-15
USGS,8481500,60,100069,1957,4,9.47,1957-04-15
USGS,8481500,60,100069,1957,5,7.22,1957-05-15
USGS,8481500,60,100069,1957,6,7.79,1957-06-15
USGS,8481500,60,100069,1957,7,7.09,1957-07-15
USGS,8481500,60,100069,1957,8,11.9,1957-08-15
USGS,8481500,60,100069,1957,9,9.38,1957-09-15
USGS,8481500,60,100069,1957,10,9.21,1957-10-15
USGS,8481500,60,100069,1957,11,8.68,1957-11-15
USGS,8481500,60,100069,1957,12,8.62,1957-12-15
USGS,8481500,60,100069,1958,1,8.75,1958-01-15
USGS,8481500,60,100069,1958,2,9.51,1958-02-15
USGS,8481500,60,100069,1958,3,7.66,1958-03-15
USGS,8481500,60,100069,1958,4,8.64,1958-04-15
USGS,8481500,60,100069,1958,5,5.82,1958-05-15
USGS,8481500,60,100069,1958,6,6.28,1958-06-15
USGS,8481500,60,100069,1958,7,6.98,1958-07-15
USGS,8481500,60,100069,1958,8,9.47,1958-08-15
USGS,8481500,60,100069,1958,9,8.82,1958-09-15
USGS,8481500,60,100069,1958,10,9.83,1958-10-15
USGS,8481500,60,100069,1958,11,10.4,1958-11-15
USGS,8481500,60,100069,1958,12,11.3,1958-12-15
USGS,8481500,60,100069,1959,1,10.6,1959-01-15
USGS,8481500,60,100069,1959,2,10.6,1959-02-15
USGS,8481500,60,100069,1959,3,10.9,1959-03-15
USGS,8481500,60,100069,1959,4,8.49,1959-04-15
USGS,8481500,60,100069,1959,5,6.26,1959-05-15
USGS,8481500,60,100069,1959,6,5.87,1959-06-15
USGS,8481500,60,100069,1959,7,4.82,1959-07-15
USGS,8481500,60,100069,1959,8,5.71,1959-08-15
USGS,8481500,60,100069,1959,9,6.88,1959-09-15
USGS,8481500,60,100069,1959,10,7.89,1959-10-15
USGS,8481500,60,100069,1959,11,9.03,1959-11-15
USGS,8481500,60,100069,1959,12,10.1,1959-12-15
USGS,8481500,60,100069,1960,1,11.5,1960-01-15
USGS,8481500,60,100069,1960,2,11.5,1960-02-15
USGS,8481500,60,100069,1960,3,9.71,1960-03-15
USGS,8481500,60,100069,1960,4,7.66,1960-04-15
USGS,8481500,60,100069,1960,5,8.12,1960-05-15
USGS,8481500,60,100069,1960,6,6.94,1960-06-15
USGS,8481500,60,100069,1960,7,5.78,1960-07-15
USGS,8481500,60,100069,1960,8,8.37,1960-08-15
USGS,8481500,60,100069,1960,9,7,1960-09-15
USGS,8481500,60,100069,1960,10,8.82,1960-10-15
USGS,8481500,60,100069,1960,11,9.45,1960-11-15
USGS,8481500,60,100069,1960,12,9.33,1960-12-15
USGS,8481500,60,100069,1961,1,10.9,1961-01-15
USGS,8481500,60,100069,1961,2,8.72,1961-02-15
USGS,8481500,60,100069,1961,3,9.54,1961-03-15
USGS,8481500,60,100069,1961,4,7.87,1961-04-15
USGS,8481500,60,100069,1961,5,7.31,1961-05-15
USGS,8481500,60,100069,1961,6,7.05,1961-06-15
USGS,8481500,60,100069,1961,7,9.89,1961-07-15
USGS,8481500,60,100069,1961,8,9.66,1961-08-15
USGS,8481500,60,100069,1961,9,7.67,1961-09-15
USGS,8481500,60,100069,1961,10,6.88,1961-10-15
USGS,8481500,60,100069,1961,11,8.86,1961-11-15
USGS,8481500,60,100069,1961,12,10.6,1961-12-15
USGS,8481500,60,100069,1962,1,9.94,1962-01-15
USGS,8481500,60,100069,1962,2,11.2,1962-02-15
USGS,8481500,60,100069,1962,3,10.1,1962-03-15
USGS,8481500,60,100069,1962,4,8.63,1962-04-15
USGS,8481500,60,100069,1962,5,7.09,1962-05-15
USGS,8481500,60,100069,1962,6,7.07,1962-06-15
USGS,8481500,60,100069,1962,7,9.18,1962-07-15
USGS,8481500,60,100069,1962,8,9.03,1962-08-15
USGS,8481500,60,100069,1962,9,8.55,1962-09-15
USGS,8481500,60,100069,1962,10,9.67,1962-10-15
USGS,8481500,60,100069,1962,11,9.81,1962-11-15
USGS,8481500,60,100069,1962,12,9.36,1962-12-15
USGS,8481500,60,100069,1963,1,9.16,1963-01-15
USGS,8481500,60,100069,1963,2,8.7,1963-02-15
USGS,8481500,60,100069,1963,3,8.79,1963-03-15
USGS,8481500,60,100069,1963,4,7.85,1963-04-15
USGS,8481500,60,100069,1963,5,7.2,1963-05-15
USGS,8481500,60,100069,1963,6,5.09,1963-06-15
USGS,8481500,60,100069,1963,7,4.18,1963-07-15
USGS,8481500,60,100069,1963,8,11.4,1963-08-15
USGS,8481500,60,100069,1963,9,14.1,1963-09-15
USGS,8481500,60,100069,1963,10,7.65,1963-10-15
USGS,8481500,60,100069,1963,11,9.42,1963-11-15
USGS,8481500,60,100069,1963,12,8.83,1963-12-15
USGS,8481500,60,100069,1964,1,10.1,1964-01-15
USGS,8481500,60,100069,1964,2,8.7,1964-02-15
USGS,8481500,60,100069,1964,3,11,1964-03-15
USGS,8481500,60,100069,1964,4,9.65,1964-04-15
USGS,8481500,60,100069,1964,5,10.1,1964-05-15
USGS,8481500,60,100069,1964,6,6.69,1964-06-15
USGS,8481500,60,100069,1964,7,7.43,1964-07-15
USGS,8481500,60,100069,1964,8,7.79,1964-08-15
USGS,8481500,60,100069,1964,9,7.79,1964-09-15
USGS,8481500,60,100069,1964,10,8.36,1964-10-15
USGS,8481500,60,100069,1964,11,8.29,1964-11-15
USGS,8481500,60,100069,1964,12,8.85,1964-12-15
USGS,8481500,60,100069,1965,1,10,1965-01-15
USGS,8481500,60,100069,1965,2,8.64,1965-02-15
USGS,8481500,60,100069,1965,3,9.27,1965-03-15
USGS,8481500,60,100069,1965,4,8.83,1965-04-15
USGS,8481500,60,100069,1965,5,9.06,1965-05-15
USGS,8481500,60,100069,1965,6,11.7,1965-06-15
USGS,8481500,60,100069,1965,7,6.16,1965-07-15
USGS,8481500,60,100069,1965,8,13.5,1965-08-15
USGS,8481500,60,100069,1965,9,11.7,1965-09-15
USGS,8481500,60,100069,1965,10,7.61,1965-10-15
USGS,8481500,60,100069,1965,11,9.46,1965-11-15
USGS,8481500,60,100069,1965,12,11.6,1965-12-15
USGS,8481500,60,100069,1966,1,9.65,1966-01-15
USGS,8481500,60,100069,1966,2,10,1966-02-15
USGS,8481500,60,100069,1966,3,9.13,1966-03-15
USGS,8481500,60,100069,1966,4,9.66,1966-04-15
USGS,8481500,60,100069,1966,5,6.52,1966-05-15
USGS,8481500,60,100069,1966,6,7.01,1966-06-15
USGS,8481500,60,100069,1966,7,7,1966-07-15
USGS,8481500,60,100069,1966,8,7.01,1966-08-15
USGS,8481500,60,100069,1966,9,10.6,1966-09-15
USGS,8481500,60,100069,1966,10,8.76,1966-10-15
USGS,8481500,60,100069,1966,11,9.71,1966-11-15
USGS,8481500,60,100069,1966,12,8.58,1966-12-15
USGS,8481500,60,100069,1967,1,7.36,1967-01-15
USGS,8481500,60,100069,1967,2,8.05,1967-02-15
USGS,8481500,60,100069,1967,3,8.68,1967-03-15
USGS,8481500,60,100069,1967,4,7.92,1967-04-15
USGS,8481500,60,100069,1967,5,7.25,1967-05-15
USGS,8481500,60,100069,1967,6,8.99,1967-06-15
USGS,8481500,60,100069,1967,7,6.14,1967-07-15
USGS,8481500,60,100069,1967,8,15.5,1967-08-15
USGS,8481500,60,100069,1967,9,8.1,1967-09-15
USGS,8481500,60,100069,1967,10,7.9,1967-10-15
USGS,8481500,60,100069,1967,11,9.39,1967-11-15
USGS,8481500,60,100069,1967,12,9.71,1967-12-15
USGS,8481500,60,100069,1968,1,9.85,1968-01-15
USGS,8481500,60,100069,1968,2,11.7,1968-02-15
USGS,8481500,60,100069,1968,3,10.7,1968-03-15
USGS,8481500,60,100069,1968,4,9.23,1968-04-15
USGS,8481500,60,100069,1968,5,7.6,1968-05-15
USGS,8481500,60,100069,1968,6,6.66,1968-06-15
USGS,8481500,60,100069,1968,7,7.6,1968-07-15
USGS,8481500,60,100069,1968,8,9.57,1968-08-15
USGS,8481500,60,100069,1968,9,10.1,1968-09-15
USGS,8481500,60,100069,1968,10,8.67,1968-10-15
USGS,8481500,60,100069,1968,11,10.3,1968-11-15
USGS,8481500,60,100069,1968,12,10.2,1968-12-15
USGS,8481500,60,100069,1969,1,10.9,1969-01-15
USGS,8481500,60,100069,1969,2,10.7,1969-02-15
USGS,8481500,60,100069,1969,3,10.3,1969-03-15
USGS,8481500,60,100069,1969,4,9.08,1969-04-15
USGS,8481500,60,100069,1969,5,7.91,1969-05-15
USGS,8481500,60,100069,1969,6,5.86,1969-06-15
USGS,8481500,60,100069,1969,7,6.44,1969-07-15
USGS,8481500,60,100069,1969,8,6.41,1969-08-15
USGS,8481500,60,100069,1969,9,7.72,1969-09-15
USGS,8481500,60,100069,1969,10,10.9,1969-10-15
USGS,8481500,60,100069,1969,11,9.44,1969-11-15
USGS,8481500,60,100069,1969,12,11.1,1969-12-15
USGS,8481500,60,100069,1970,1,12.8,1970-01-15
USGS,8481500,60,100069,1970,2,11.7,1970-02-15
USGS,8481500,60,100069,1970,3,11.4,1970-03-15
USGS,8481500,60,100069,1970,4,7.74,1970-04-15
USGS,8481500,60,100069,1970,5,7.16,1970-05-15
USGS,8481500,60,100069,1970,6,5.34,1970-06-15
USGS,8481500,60,100069,1970,7,7.05,1970-07-15
USGS,8481500,60,100069,1970,8,4.94,1970-08-15
USGS,8481500,60,100069,1970,9,7.59,1970-09-15
USGS,8481500,60,100069,1970,10,8.42,1970-10-15
USGS,8481500,60,100069,1970,11,7.68,1970-11-15
USGS,8481500,60,100069,1970,12,6.91,1970-12-15
USGS,8481500,60,100069,1971,1,8.36,1971-01-15
USGS,8481500,60,100069,1971,2,9.52,1971-02-15
USGS,8481500,60,100069,1971,3,8.16,1971-03-15
USGS,8481500,60,100069,1971,4,7.87,1971-04-15
USGS,8481500,60,100069,1971,5,7.6,1971-05-15
USGS,8481500,60,100069,1971,6,7.5,1971-06-15
USGS,8481500,60,100069,1971,7,7.85,1971-07-15
USGS,8481500,60,100069,1971,8,11.1,1971-08-15
USGS,8481500,60,100069,1971,9,8.09,1971-09-15
USGS,8481500,60,100069,1971,10,9.05,1971-10-15
USGS,8481500,60,100069,1971,11,10.3,1971-11-15
USGS,8481500,60,100069,1971,12,9.05,1971-12-15
USGS,8481500,60,100069,1972,1,8.8,1972-01-15
USGS,8481500,60,100069,1972,2,10.2,1972-02-15
USGS,8481500,60,100069,1972,3,8.44,1972-03-15
USGS,8481500,60,100069,1972,4,10.2,1972-04-15
USGS,8481500,60,100069,1972,5,11.2,1972-05-15
USGS,8481500,60,100069,1972,6,7.53,1972-06-15
USGS,8481500,60,100069,1972,7,6.46,1972-07-15
USGS,8481500,60,100069,1972,8,10.8,1972-08-15
USGS,8481500,60,100069,1972,9,11,1972-09-15
USGS,8481500,60,100069,1972,10,8.93,1972-10-15
USGS,8481500,60,100069,1972,11,10.4,1972-11-15
USGS,8481500,60,100069,1972,12,10.3,1972-12-15
USGS,8481500,60,100069,1973,1,10.6,1973-01-15
USGS,8481500,60,100069,1973,2,9.79,1973-02-15
USGS,8481500,60,100069,1973,3,9.66,1973-03-15
USGS,8481500,60,100069,1973,4,8.81,1973-04-15
USGS,8481500,60,100069,1973,5,8.72,1973-05-15
USGS,8481500,60,100069,1973,6,7.79,1973-06-15
USGS,8481500,60,100069,1973,7,7.84,1973-07-15
USGS,8481500,60,100069,1973,8,10.9,1973-08-15
USGS,8481500,60,100069,1973,9,7.3,1973-09-15
USGS,8481500,60,100069,1973,10,9.25,1973-10-15
USGS,8481500,60,100069,1973,11,10.4,1973-11-15
USGS,8481500,60,100069,1973,12,10.8,1973-12-15
USGS,8481500,60,100069,1974,1,11.9,1974-01-15
USGS,8481500,60,100069,1974,2,11.4,1974-02-15
USGS,8481500,60,100069,1974,3,10.1,1974-03-15
USGS,8481500,60,100069,1974,4,9.96,1974-04-15
USGS,8481500,60,100069,1974,5,8.92,1974-05-15
USGS,8481500,60,100069,1974,6,8.12,1974-06-15
USGS,8481500,60,100069,1974,7,15.8,1974-07-15
USGS,8481500,60,100069,1974,8,13.3,1974-08-15
USGS,8481500,60,100069,1974,9,11,1974-09-15
USGS,8481500,60,100069,1974,10,9.33,1974-10-15
USGS,8481500,60,100069,1974,11,11.7,1974-11-15
USGS,8481500,60,100069,1974,12,11.6,1974-12-15
USGS,8481500,60,100069,1975,1,11.9,1975-01-15
USGS,8481500,60,100069,1975,2,12,1975-02-15
USGS,8481500,60,100069,1975,3,13.5,1975-03-15
USGS,8481500,60,100069,1975,4,11.1,1975-04-15
USGS,8481500,60,100069,1975,5,10.9,1975-05-15
USGS,8481500,60,100069,1975,6,7.03,1975-06-15
USGS,8481500,60,100069,1975,7,8.89,1975-07-15
USGS,8481500,60,100069,1975,8,9.15,1975-08-15
USGS,8481500,60,100069,1975,9,13.2,1975-09-15
USGS,8481500,60,100069,1975,10,11,1975-10-15
USGS,8481500,60,100069,1975,11,11.3,1975-11-15
USGS,8481500,60,100069,1975,12,11.2,1975-12-15
USGS,8481500,60,100069,1976,1,11.7,1976-01-15
USGS,8481500,60,100069,1976,2,12.3,1976-02-15
USGS,8481500,60,100069,1976,3,9.66,1976-03-15
USGS,8481500,60,100069,1976,4,13,1976-04-15
USGS,8481500,60,100069,1976,5,10.1,1976-05-15
USGS,8481500,60,100069,1976,6,7.71,1976-06-15
USGS,8481500,60,100069,1976,7,11.6,1976-07-15
USGS,8481500,60,100069,1976,8,10.1,1976-08-15
USGS,8481500,60,100069,1976,9,12.2,1976-09-15
USGS,8481500,60,100069,1976,10,11,1976-10-15
USGS,8481500,60,100069,1976,11,12.3,1976-11-15
USGS,8481500,60,100069,1976,12,10.5,1976-12-15
USGS,8481500,60,100069,1977,1,12,1977-01-15
USGS,8481500,60,100069,1977,2,12.9,1977-02-15
USGS,8481500,60,100069,1977,3,11.8,1977-03-15
USGS,8481500,60,100069,1977,4,11.1,1977-04-15
USGS,8481500,60,100069,1977,5,9.9,1977-05-15
USGS,8481500,60,100069,1977,6,8.51,1977-06-15
USGS,8481500,60,100069,1977,7,12.5,1977-07-15
USGS,8481500,60,100069,1977,8,10.3,1977-08-15
USGS,8481500,60,100069,1977,9,11.8,1977-09-15
USGS,8481500,60,100069,1977,10,11.1,1977-10-15
USGS,8481500,60,100069,1977,11,12,1977-11-15
USGS,8481500,60,100069,1977,12,12.8,1977-12-15
USGS,8481500,60,100069,1978,1,13.6,1978-01-15
USGS,8481500,60,100069,1978,2,12.8,1978-02-15
USGS,8481500,60,100069,1978,3,11.6,1978-03-15
USGS,8481500,60,100069,1978,4,10.8,1978-04-15
USGS,8481500,60,100069,1978,5,10.3,1978-05-15
USGS,8481500,60,100069,1978,6,7.98,1978-06-15
USGS,8481500,60,100069,1978,7,12.2,1978-07-15
USGS,8481500,60,100069,1978,8,10.3,1978-08-15
USGS,8481500,60,100069,1978,9,12.6,1978-09-15
USGS,8481500,60,100069,1978,10,10.2,1978-10-15
USGS,8481500,60,100069,1978,11,14.4,1978-11-15
USGS,8481500,60,100069,1978,12,15.6,1978-12-15
USGS,8481500,60,100069,1979,1,16.7,1979-01-15
USGS,8481500,60,100069,1979,2,13.7,1979-02-15
USGS,8481500,60,100069,1979,3,13.8,1979-03-15
USGS,8481500,60,100069,1979,4,15.5,1979-04-15
USGS,8481500,60,100069,1979,5,15.1,1979-05-15
USGS,8481500,60,100069,1979,6,12.8,1979-06-15
USGS,8481500,60,100069,1979,7,10.7,1979-07-15
USGS,8481500,60,100069,1979,8,13.3,1979-08-15
USGS,8481500,60,100069,1979,9,14.8,1979-09-15
USGS,8481500,60,100069,1979,10,13.7,1979-10-15
USGS,8481500,60,100069,1979,11,13.5,1979-11-15
USGS,8481500,60,100069,1979,12,14.7,1979-12-15
USGS,8481500,60,100069,1980,1,13.1,1980-01-15
USGS,8481500,60,100069,1980,2,14.8,1980-02-15
USGS,8481500,60,100069,1980,3,14.7,1980-03-15
USGS,8481500,60,100069,1980,4,14.7,1980-04-15
USGS,8481500,60,100069,1980,5,14,1980-05-15
USGS,8481500,60,100069,1980,6,9.33,1980-06-15
USGS,8481500,60,100069,1980,7,11.3,1980-07-15
USGS,8481500,60,100069,1980,8,34.5,1980-08-15
USGS,8481500,60,100069,1980,9,11.5,1980-09-15
USGS,8481500,60,100069,1980,10,12.7,1980-10-15
USGS,8481500,60,100069,1980,11,14.4,1980-11-15
USGS,8481500,60,100069,1980,12,13.8,1980-12-15
USGS,8481500,60,100069,1981,1,14.2,1981-01-15
USGS,8481500,60,100069,1981,2,14.5,1981-02-15
USGS,8481500,60,100069,1981,3,14.6,1981-03-15
USGS,8481500,60,100069,1981,4,12.5,1981-04-15
USGS,8481500,60,100069,1981,5,11,1981-05-15
USGS,8481500,60,100069,1981,6,10.2,1981-06-15
USGS,8481500,60,100069,1981,7,11.7,1981-07-15
USGS,8481500,60,100069,1981,8,15.1,1981-08-15
USGS,8481500,60,100069,1981,9,11.2,1981-09-15
