Quarter,Community Drinking Water Systems,Nitrate-System Means (mcg/L),Population Served
1999 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.69,37290
2000 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.6,37290
2000 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.6,37290
2000 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.6,37290
2000 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.6,37290
2001 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,37290
2001 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,37290
2001 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,37290
2001 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,37290
2002 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2002 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2002 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2002 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2003 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2003 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.63,37290
2003 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.66,37290
2003 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.66,37290
2004 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.66,37290
2004 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.66,37290
2004 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.66,37290
2004 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.89,37290
2005 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.89,37290
2005 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.89,37290
2005 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.68,37290
2005 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.68,37290
2006 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.68,37290
2006 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.68,37290
2006 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.62,37290
2006 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.62,37290
2007 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.62,37290
2007 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.62,37290
2007 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.58,37290
2007 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.58,37290
2008 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,3.6,37290
2008 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.75,37290
2008 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.75,37290
2008 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.75,37290
2009 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.18,37290
2009 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.18,37290
2009 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.18,37290
2009 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.18,37290
2010 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.18,37290
2010 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,37290
2010 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,37290
2010 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,37290
2011 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,37290
2011 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,3.2,37290
2011 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,3.2,37290
2011 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,3.2,37290
2012 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.26,38500
2012 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.26,38500
2012 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,38500
2012 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,38500
2013 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.5,38500
2013 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.04,38500
2013 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.04,38500
2013 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.04,38500
2014 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.22,38500
2014 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.22,38500
2014 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.22,38500
2014 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.22,38500
2015 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.8,38500
2015 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.8,38500
2015 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.8,38500
2015 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.8,38500
2016 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.8,38500
2016 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.15,38500
2016 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.15,38500
2016 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.15,38500
2017 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.25,38500
2017 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.48,38500
2017 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.48,38500
2017 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.48,38500
2018 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2018 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2018 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.76,35629
2018 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.76,35629
2019 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2019 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2019 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2019 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.23,35629
2020 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.25,35629
2020 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.25,35629
2020 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.73,35629
2020 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.73,35629
2021 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.3,36828
2021 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.3,36828
2021 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.3,36828
2021 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.62,36828
2022 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.25,36828
2022 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.25,36828
2022 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,1.96,36828
2022 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,1.96,36828
