agency_cd,site_no,parameter_cd,ts_id,year_nu,mean_va
USGS,8481500,60,100069,1949,12.2
USGS,8481500,60,100069,1950,12.2
USGS,8481500,60,100069,1951,11.3
USGS,8481500,60,100069,1952,10.2
USGS,8481500,60,100069,1953,10.9
USGS,8481500,60,100069,1954,8.64
USGS,8481500,60,100069,1955,10.1
USGS,8481500,60,100069,1956,8.66
USGS,8481500,60,100069,1957,9.05
USGS,8481500,60,100069,1958,8.19
USGS,8481500,60,100069,1959,8.45
USGS,8481500,60,100069,1960,8.63
USGS,8481500,60,100069,1961,8.86
USGS,8481500,60,100069,1962,8.91
USGS,8481500,60,100069,1963,8.77
USGS,8481500,60,100069,1964,8.77
USGS,8481500,60,100069,1965,9.54
USGS,8481500,60,100069,1966,8.76
USGS,8481500,60,100069,1967,8.76
USGS,8481500,60,100069,1968,9.16
USGS,8481500,60,100069,1969,8.71
USGS,8481500,60,100069,1970,8.92
USGS,8481500,60,100069,1971,8.25
USGS,8481500,60,100069,1972,9.4
USGS,8481500,60,100069,1973,9.26
USGS,8481500,60,100069,1974,10.9
USGS,8481500,60,100069,1975,10.8
USGS,8481500,60,100069,1976,11
USGS,8481500,60,100069,1977,11.2
USGS,8481500,60,100069,1978,11.5
USGS,8481500,60,100069,1979,13.9
USGS,8481500,60,100069,1980,15
USGS,8481500,60,100069,1981,13
USGS,8481500,60,100069,1982,12.7
USGS,8481500,60,100069,1983,13.2
USGS,8481500,60,100069,1984,14.6
USGS,8481500,60,100069,1985,19.3
USGS,8481500,60,100069,1986,20.7
USGS,8481500,60,100069,1987,23
USGS,8481500,60,100069,1988,22.8
USGS,8481500,60,100069,1989,22.3
USGS,8481500,60,100069,1990,22
USGS,8481500,60,100069,1991,23.6
USGS,8481500,60,100069,1992,23.4
USGS,8481500,60,100069,1993,21.1
USGS,8481500,60,100069,1994,21.6
USGS,8481500,60,100069,1995,22.5
USGS,8481500,60,100069,1996,23
USGS,8481500,60,100069,2003,14.8
USGS,8481500,60,100069,2004,14.6
USGS,8481500,60,100069,2005,15.1
USGS,8481500,60,100069,2006,15.9
USGS,8481500,60,100069,2007,15.8
USGS,8481500,60,100069,2008,15.2
USGS,8481500,60,100069,2009,13.9
USGS,8481500,60,100069,2010,14.3
USGS,8481500,60,100069,2011,14.1
USGS,8481500,60,100069,2012,14.3
USGS,8481500,60,100069,2013,13.3
USGS,8481500,60,100069,2014,16.3
USGS,8481500,60,100069,2015,15.3
USGS,8481500,60,100069,2016,12.7
USGS,8481500,60,100069,2017,12.6
USGS,8481500,60,100069,2018,12.7
USGS,8481500,60,100069,2019,11.1
USGS,8481500,60,100069,2020,10.8